[2017-03-21 09:28:09] db_10.26.3.45_for_detail: sql[select * from account.tZJDJXMMX where CXBZ!=2 and DJLB in(1, 2) and             
FSRQ = to_char(sysdate, 'yyyymmdd') and YXRQ=to_char(sysdate, 'yyyymmdd') and             
ROUND(TO_NUMBER(to_date(FSSJ,'hh24:mi:ss')-to_date('16:00:00','hh24:mi:ss'))*24*60*60)<0] is not correct!
[2017-03-21 10:21:34] N1,N2,比例,说明
[2017-03-21 10:21:34] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:21:44] N1,N2,比例,说明
[2017-03-21 10:21:44] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:21:54] N1,N2,比例,说明
[2017-03-21 10:21:54] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:22:04] N1,N2,比例,说明
[2017-03-21 10:22:04] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:23:19] N1,N2,比例,说明
[2017-03-21 10:23:19] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:23:29] N1,N2,比例,说明
[2017-03-21 10:23:29] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:23:39] N1,N2,比例,说明
[2017-03-21 10:23:39] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:23:49] N1,N2,比例,说明
[2017-03-21 10:23:49] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:23:59] N1,N2,比例,说明
[2017-03-21 10:23:59] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:24:09] N1,N2,比例,说明
[2017-03-21 10:24:09] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:24:19] N1,N2,比例,说明
[2017-03-21 10:24:19] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:24:29] N1,N2,比例,说明
[2017-03-21 10:24:29] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:24:39] N1,N2,比例,说明
[2017-03-21 10:24:39] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:24:49] N1,N2,比例,说明
[2017-03-21 10:24:49] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:24:59] N1,N2,比例,说明
[2017-03-21 10:24:59] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:25:09] N1,N2,比例,说明
[2017-03-21 10:25:09] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:25:19] N1,N2,比例,说明
[2017-03-21 10:25:19] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:25:29] N1,N2,比例,说明
[2017-03-21 10:25:29] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:25:39] N1,N2,比例,说明
[2017-03-21 10:25:39] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:25:49] N1,N2,比例,说明
[2017-03-21 10:25:49] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:25:59] N1,N2,比例,说明
[2017-03-21 10:25:59] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:26:09] N1,N2,比例,说明
[2017-03-21 10:26:09] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:26:19] N1,N2,比例,说明
[2017-03-21 10:26:19] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:26:29] N1,N2,比例,说明
[2017-03-21 10:26:29] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:26:39] N1,N2,比例,说明
[2017-03-21 10:26:39] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:26:49] N1,N2,比例,说明
[2017-03-21 10:26:49] 472,552,0.86,交易时间待申报数据过多或没有申报数据
