标号,异常数,总数
未及时得到交易所确认的纪录监控,0,3
帐户出现交易后可能透支的风险监控,0,3
特殊业务发生监控，及时提醒对当日这些业务的最终确认状态进行确认,0,3
大宗交易委托情况提醒，委托后5-10分钟未成交，或者临收盘5-10分钟还未成交等等,0,3
白天相同类型错误回报过多异常提醒（可能隐含系统有问题）,0,3
交易所回报信息检查，对一些可能是发送给交易所的数据有问题的交易所回报进行提醒（可能隐含系统有问题）,0,3
投票数量超过一定阀值进行提示,0,3
当日股票未出现买卖，相关买入卖出金额和数量出现变化,0,3
